ICE FLAVORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDS PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flavor,,,Calories,,,,,"Calories
from Fat",,,Fat,,,"Saturated
Fat",,,,,,"Trans
Fat",,,Cholesterol,,,,,,,Sodium,,,"Total
Carbohydrates",,,,,,"Dietary
Fiber",,,,Total Sugar,,,,"Added
Sugar",,,,,Protein,,,,,Vitamin D,,,,,"Vitamin D
(% DV)",,,,Calcium,,,,"Calcium
(%DV)",,,Iron,,"Iron
(%DV)",,,,Potassium,,,,"Potassium
(%DV)",,,,,,,
,Mango- Pineapple,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,43,,,,,0,,,,41,,,41,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Mango- Strawberry,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,44,,,,,0,,,,42,,,41,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,5,,,,,0,,,
,Margarita,,,150,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,30,,,,37,,,,,0,,,,35,,,34,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Ocean Splash™,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,70,,,,41,,,,,0,,,,37,,,37,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Peach Ring,,,140,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,20,,,,37,,,,,0,,,,36,,,35,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,1,,,,,0,,,
,Peanut Butter and Jelly,,,230,,,,50,,,6,,,1,,,,,0,,,,,0,,,,,65,,,,44,,,,,0,,,,42,,,41,,,2,,,,,0,,,,,,0,,,,,12,,,2,,,,,,,0,,,2,,,,,,55,,,,,2,,,
,Pina Colada,,,170,,,,5,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,42,,,,,0,,,,40,,,40,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Pineapple,,,150,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,38,,,,,0,,,,37,,,36,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,2,,,,,,10,,,,,0,,,
,Raspberry,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,41,,,,,0,,,,39,,,39,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
,Raspberry Lemonade,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,30,,,,44,,,,,0,,,,41,,,36,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,24,,,,,0,,,
,Root Beer,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,40,,,,,0,,,,39,,,39,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Sour Patch Kids Red,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,42,,,,,0,,,,41,,,41,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Strawberry Colada,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,44,,,,,0,,,,43,,,42,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Strawberry,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,40,,,,,0,,,,39,,,38,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Strawberry Lemonade,,,150,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,38,,,,,0,,,,36,,,36,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
,Strawberry Margarita,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,30,,,,44,,,,,0,,,,42,,,40,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
,Strawberry- Watermelon,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,41,,,,,0,,,,40,,,39,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Swedish Fish,,,190,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,45,,,,48,,,,,0,,,,47,,,47,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Tropical Daiquiri,,,190,,,,5,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,46,,,,,0,,,,44,,,43,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,3,,,,,0,,,
,Tropical ParadICE,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,42,,,,,0,,,,31,,,40,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,16,,,,,0,,,
,Unicorn,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,75,,,,42,,,,,0,,,,38,,,38,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
,Vanilla,,,150,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,39,,,,,0,,,,37,,,37,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Watermelon,,,180,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,45,,,,,0,,,,43,,,43,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,5,,,,,0,,,
,Wild Berry,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,44,,,,,0,,,,42,,,42,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,5,,,,,0,,,
,Wild Black Cherry,,,160,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,15,,,,39,,,,,0,,,,36,,,36,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
,Zombie's Blood,,,120,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,32,,,,,0,,,,30,,,30,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,7,,,,,0,,,
,Banana Split Cream,,,200,,,,25,,,3,,,2,,,,,0,,,,,0,,,,,30,,,,46,,,,,0,,,,43,,,18,,,0,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,2,,,,,,20,,,,,1,,,
,Birthday Cake,,,200,,,,25,,,3,,,2,,,,,0,,,,,0,,,,,105,,,,45,,,,,0,,,,41,,,35,,,0,,,,,0,,,,,,0,,,,,23,,,2,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Black Cherry Cheesecake,,,200,,,,20,,,2,,,2,,,,,0,,,,,0,,,,,45,,,,45,,,,,0,,,,42,,,17,,,0,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,2,,,,,,0,,,,,0,,,
,Brookie Dough,,,230,,,,35,,,4,,,3,,,,,0,,,,,0,,,,,75,,,,49,,,,,0,,,,43,,,41,,,1,,,,,0,,,,,,0,,,,,11,,,0,,,,,,,0,,,0,,,,,,33,,,,,0,,,
,Cheesecake,,,190,,,,20,,,2,,,2,,,,,0,,,,,0,,,,,45,,,,43,,,,,0,,,,41,,,18,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Chocolate Covered Banana,,,210,,,,35,,,4,,,3,,,,,0,,,,,0,,,,,45,,,,46,,,,,0,,,,43,,,20,,,1,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,1,,,2,,,,,,30,,,,,1,,,
,Chocolate Chip Cheesecake,,,210,,,,30,,,3,,,3,,,,,0,,,,,0,,,,,55,,,,47,,,,,0,,,,44,,,20,,,1,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,0,,,,,,44,,,,,0,,,
,Chocolate Covered Strawberry,,,220,,,,35,,,4,,,3,,,,,0,,,,,0,,,,,55,,,,46,,,,,0,,,,43,,,42,,,1,,,,,0,,,,,,0,,,,,11,,,2,,,,,,,1,,,4,,,,,,50,,,,,1,,,
,Coconut Cream,,,190,,,,20,,,3,,,2,,,,,0,,,,,0,,,,,45,,,,42,,,,,0,,,,40,,,38,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,5,,,,,0,,,
,Cookie Dough,,,210,,,,35,,,4,,,3,,,,,0,,,,,0,,,,,65,,,,45,,,,,0,,,,40,,,39,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,2,,,,,,30,,,,,1,,,
,Cookies & Cream,,,230,,,,20,,,3,,,2,,,,,0,,,,,0,,,,,55,,,,53,,,,,0,,,,50,,,49,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,2,,,,,,10,,,,,0,,,
,Frozen Hot Cocoa,,,200,,,,15,,,2,,,1.5,,,,,0,,,,,0,,,,,50,,,,48,,,,,1,,,,45,,,45,,,0,,,,,0,,,,,,0,,,,,8,,,0,,,,,,,0,,,0,,,,,,43,,,,,0,,,
,Fudge Brownie,,,250,,,,30,,,4,,,3,,,,,0,,,,,0,,,,,70,,,,57,,,,,0,,,,50,,,50,,,1,,,,,0,,,,,,0,,,,,11,,,2,,,,,,,1,,,4,,,,,,85,,,,,2,,,
,Marshmallow Peanut Butter,,,250,,,,50,,,6,,,3,,,,,0,,,,,0,,,,,70,,,,49,,,,,0,,,,47,,,47,,,1,,,,,0,,,,,,0,,,,,10,,,2,,,,,,,0,,,2,,,,,,50,,,,,1,,,
,Mint Chocolate Chip,,,200,,,,30,,,4,,,3,,,,,0,,,,,0,,,,,40,,,,44,,,,,0,,,,42,,,42,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,1,,,4,,,,,,35,,,,,1,,,
,Mint Oreo,,,200,,,,20,,,3,,,2,,,,,0,,,,,0,,,,,55,,,,44,,,,,0,,,,41,,,28,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,2,,,,,,0,,,,,0,,,
,Orange Cream,,,180,,,,15,,,2,,,1.5,,,,,0,,,,,0,,,,,40,,,,41,,,,,0,,,,37,,,26,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,19,,,,,0,,,
,Pumpkin Cheesecake,,,170,,,,15,,,2,,,2,,,,,0,,,,,0,,,,,25,,,,39,,,,,0,,,,36,,,16,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,5,,,,,0,,,
,Pumpkin Pie,,,160,,,,15,,,2,,,2,,,,,0,,,,,0,,,,,40,,,,35,,,,,0,,,,33,,,32,,,0,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,2,,,,,,20,,,,,1,,,
,Root Beer Float,,,170,,,,10,,,1,,,1,,,,,0,,,,,0,,,,,35,,,,42,,,,,0,,,,39,,,30,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
GELATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMALL PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add together your Ice Flavor and Custard Flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S'mores,,,220,,,,25,,,3,,,2,,,,,0,,,,,0,,,,,40,,,,51,,,,,0,,,,48,,,48,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,1,,,2,,,,,,30,,,,,1,,,
,Shamrock,,,200,,,,15,,,2,,,1.5,,,,,0,,,,,0,,,,,40,,,,46,,,,,0,,,,43,,,43,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,12,,,,,0,,,
,Strawberry Banana,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,115,,,,22,,,,,0,,,,20,,,14,,,4,,,,,0,,,,,,0,,,,,130,,,10,,,,,,,0,,,0,,,,,,177,,,,,4,,,
,Strawberry Cheesecake,,,200,,,,20,,,2,,,2,,,,,0,,,,,0,,,,,45,,,,46,,,,,0,,,,43,,,19,,,0,,,,,0,,,,,,0,,,,,6,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,Strawberries n' Cream,,,200,,,,15,,,2,,,1.5,,,,,0,,,,,0,,,,,40,,,,47,,,,,0,,,,44,,,23,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,9,,,,,0,,,
,Vanilla Cream,,,180,,,,15,,,2,,,2,,,,,0,,,,,0,,,,,45,,,,40,,,,,0,,,,38,,,38,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
"Smart
Snack Ice",Watermelon Chip,,,220,,,,30,,,4,,,3,,,,,0,,,,,0,,,,,40,,,,50,,,,,0,,,,47,,,46,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,1,,,4,,,,,,35,,,,,1,,,
,MaliBLU Freeze,,,170,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,30,,,,43,,,,,0,,,,41,,,7,,,0,,,,,0,,,,,,0,,,,,7,,,0,,,,,,,0,,,0,,,,,,33,,,,,0,,,
,Razzle Red,,,230,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,15,,,,59,,,,,0,,,,57,,,21,,,0,,,,,0,,,,,,0,,,,,4,,,0,,,,,,,0,,,0,,,,,,0,,,,,0,,,
,Very Bery,,,190,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,15,,,,48,,,,,0,,,,47,,,26,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,2,,,,,0,,,
Sugar-Free Ice,S/F Cherry,,,80,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,15,,,,27,,,,,0,,,,0,,,0,,,0,,,,,0,,,,,,0,,,,,8,,,0,,,,,,,0,,,0,,,,,,10,,,,,0,,,
,S/F Dragon Fruit,,,100,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,20,,,,36,,,,,0,,,,0,,,0,,,0,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,0,,,,,,20,,,,,1,,,
,S/F Mango Peach,,,70,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,15,,,,26,,,,,0,,,,0,,,0,,,0,,,,,0,,,,,,0,,,,,8,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
,S/F Pink Lemonade,,,80,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,20,,,,28,,,,,0,,,,0,,,0,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,18,,,,,1,,,
,S/F Tangerine,,,80,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,27,,,,,0,,,,0,,,0,,,0,,,,,0,,,,,,0,,,,,5,,,0,,,,,,,0,,,0,,,,,,15,,,,,0,,,
Custard,Banana,,,190,,,,90,,,10,,,6,,,,,0,,,,,70,,,,,115,,,,22,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,130,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Black Raspberry,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,132,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Butter Pecan,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,22,,,,,0,,,,19,,,13,,,4,,,,,0,,,,,,0,,,,,133,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Cake Batter,,,170,,,,90,,,10,,,6,,,,,0,,,,,65,,,,,115,,,,23,,,,,0,,,,19,,,12,,,3,,,,,0,,,,,,0,,,,,123,,,10,,,,,,,0,,,0,,,,,,168,,,,,4,,,
,Campfire Marshmallow,,,190,,,,90,,,10,,,7,,,,,0,,,,,50,,,,,105,,,,29,,,,,0,,,,22,,,12,,,3,,,,,0,,,,,,0,,,,,92,,,10,,,,,,,0,,,0,,,,,,135,,,,,4,,,
,Caramel Macchiato,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,22,,,,,0,,,,19,,,13,,,4,,,,,0,,,,,,0,,,,,132,,,10,,,,,,,0,,,0,,,,,,180,,,,,4,,,
,Cheesecake,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,115,,,,23,,,,,0,,,,20,,,15,,,4,,,,,0,,,,,,0,,,,,130,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Chocolate,,,180,,,,90,,,10,,,6,,,,,0,,,,,60,,,,,95,,,,21,,,,,0,,,,19,,,14,,,4,,,,,0,,,,,,0,,,,,125,,,15,,,,,,,1,,,6,,,,,,250,,,,,7,,,
,Chocolate Cake,,,180,,,,80,,,9,,,6,,,,,0,,,,,55,,,,,95,,,,22,,,,,0,,,,20,,,14,,,4,,,,,0,,,,,,0,,,,,121,,,10,,,,,,,1,,,6,,,,,,242,,,,,6,,,
,Chocolate Banana,,,180,,,,80,,,9,,,6,,,,,0,,,,,55,,,,,95,,,,22,,,,,0,,,,19,,,14,,,4,,,,,0,,,,,,0,,,,,121,,,10,,,,,,,1,,,6,,,,,,242,,,,,6,,,
,Chocolate Strawberry,,,180,,,,80,,,9,,,6,,,,,0,,,,,55,,,,,95,,,,22,,,,,0,,,,20,,,14,,,4,,,,,0,,,,,,0,,,,,121,,,10,,,,,,,1,,,6,,,,,,242,,,,,6,,,
,Coffee,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,125,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,134,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Cotton Candy,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,115,,,,23,,,,,0,,,,20,,,15,,,4,,,,,0,,,,,,0,,,,,130,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Mint,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,133,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Orange,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,22,,,,,0,,,,19,,,14,,,4,,,,,0,,,,,,0,,,,,132,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Peach,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,132,,,10,,,,,,,0,,,0,,,,,,181,,,,,4,,,
,Pistachio,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,22,,,,,0,,,,19,,,14,,,4,,,,,0,,,,,,0,,,,,133,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Pumpkin,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,23,,,,,0,,,,20,,,15,,,4,,,,,0,,,,,,0,,,,,131,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Pumpkin Cold Brew,,,190,,,,90,,,10,,,6,,,,,0,,,,,70,,,,,130,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,131,,,10,,,,,,,0,,,0,,,,,,177,,,,,4,,,
,Salted Caramel Chocolate,,,180,,,,90,,,9,,,6,,,,,0,,,,,55,,,,,95,,,,21,,,,,0,,,,19,,,14,,,4,,,,,0,,,,,,0,,,,,123,,,10,,,,,,,1,,,6,,,,,,247,,,,,6,,,
,Salted Caramel,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,133,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Strawberry,,,190,,,,90,,,10,,,7,,,,,0,,,,,70,,,,,120,,,,22,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,132,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,Vanilla,,,190,,,,100,,,11,,,7,,,,,0,,,,,70,,,,,120,,,,21,,,,,0,,,,18,,,13,,,4,,,,,0,,,,,,0,,,,,135,,,15,,,,,,,0,,,0,,,,,,180,,,,,5,,,
,"This nutrition information is based on standard recipes and product formulations; however; variations may occur due to differences in preparation, serving sizes, ingredients, or special orders. Current recommendations are to limit total saturated fat intake to 20 grams per day and to limit sodium intake to less than 2,400 mg per day for a 2,000 calorie-per-day diet. A 2,000 calorie daily diet is used for the basis of general nutrition advice; individual calorie needs however; may vary. ©2015 RITA’S FRANCHISE COMPANY. ALL RIGHTS RESERVED.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GELATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARGE PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add together your Ice Flavor and Custard Flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flavor,,,Calories,,,,Calories from Fat,,,Fat,,,Saturated Fat,,,,,Trans Fat,,,,,Cholesterol,,,,,Sodium,,,,Total Carbohydrates,,,,,Dietary Fiber,,,,Total Sugar,,,Added Sugar,,,Protein,,,,,Vitamin D,,,,,,Vitamin D (% DV),,,,,Calcium,,,Calcium (%DV),,,,,,,Iron,,,Iron (%DV),,,,,,,Potassium,,,,,Potassium (%DV),,
Italian,Apple Berry Blue,,,300,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,50,,,,76,,,,,0,,,,72,,,70,,,0,,,,,1,,,,,,6,,,,,11,,,0,,,,,,,0,,,0,,,,,,,27,,,,,0,,
,Banana,,,250,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,35,,,,63,,,,,0,,,,60,,,60,,,0,,,,,0,,,,,,0,,,,,10,,,0,,,,,,,0,,,0,,,,,,,0,,,,,0,,
,Blue Raspberry,,,290,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,74,,,,,0,,,,72,,,72,,,0,,,,,0,,,,,,0,,,,,10,,,0,,,,,,,0,,,0,,,,,,,1,,,,,0,,
,Blueberry,,,410,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,105,,,,,0,,,,103,,,102,,,0,,,,,0,,,,,,0,,,,,10,,,0,,,,,,,0,,,0,,,,,,,1,,,,,0,,
,Blueberry Lemonade,,,240,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,62,,,,,0,,,,57,,,55,,,0,,,,,0,,,,,,0,,,,,15,,,2,,,,,,,0,,,0,,,,,,,41,,,,,0,,
,Carnival,,,310,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,77,,,,,0,,,,74,,,31,,,0,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,0,,,,,,,1,,,,,0,,
,Cherry,,,260,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,45,,,,66,,,,,0,,,,62,,,60,,,0,,,,,0,,,,,,0,,,,,16,,,2,,,,,,,0,,,0,,,,,,,0,,,,,0,,
,Cherry Lemonade,,,280,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,45,,,,73,,,,,0,,,,69,,,68,,,0,,,,,0,,,,,,0,,,,,12,,,2,,,,,,,0,,,0,,,,,,,20,,,,,1,,
,Cherry Limeade,,,240,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,62,,,,,0,,,,59,,,59,,,0,,,,,0,,,,,,0,,,,,11,,,2,,,,,,,0,,,0,,,,,,,15,,,,,0,,
,Chocolate,,,410,,,,30,,,3,,,2,,,,,0,,,,,0,,,,,70,,,,100,,,,,0,,,,94,,,94,,,1,,,,,0,,,,,,0,,,,,20,,,2,,,,,,,2,,,8,,,,,,,140,,,,,4,,
,Chocolate Chocolate Chip,,,380,,,,5,,,0,,,0,,,,,0,,,,,0,,,,,70,,,,96,,,,,0,,,,91,,,91,,,1,,,,,0,,,,,,0,,,,,17,,,2,,,,,,,1,,,4,,,,,,,95,,,,,3,,
,Chocolate Peanut Butter,,,460,,,,70,,,8,,,2,,,,,0,,,,,0,,,,,125,,,,98,,,,,0,,,,92,,,91,,,3,,,,,0,,,,,,0,,,,,25,,,2,,,,,,,1,,,6,,,,,,,160,,,,,5,,
,Cotton Candy,,,350,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,25,,,,89,,,,,0,,,,87,,,33,,,0,,,,,0,,,,,,0,,,,,11,,,2,,,,,,,0,,,0,,,,,,,0,,,,,0,,
,Dr Pepper,,,330,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,35,,,,89,,,,,0,,,,87,,,33,,,0,,,,,0,,,,,,0,,,,,8,,,0,,,,,,,0,,,0,,,,,,,0,,,,,0,,
,Florida Orange,,,300,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,50,,,,76,,,,,0,,,,69,,,66,,,0,,,,,0,,,,,,0,,,,,13,,,2,,,,,,,0,,,0,,,,,,,55,,,,,2,,
,Georgia Peach,,,220,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,58,,,,,0,,,,56,,,55,,,0,,,,,0,,,,,,0,,,,,9,,,0,,,,,,,0,,,0,,,,,,,0,,,,,0,,
,Green Apple,,,280,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,40,,,,71,,,,,0,,,,69,,,65,,,0,,,,,0,,,,,,0,,,,,12,,,0,,,,,,,0,,,0,,,,,,,44,,,,,0,,
,Guava Passionfruit,,,310,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,45,,,,78,,,,,0,,,,37,,,74,,,0,,,,,0,,,,,,0,,,,,10,,,0,,,,,,,0,,,0,,,,,,,54,,,,,2,,
,Gummy Bear,,,380,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,50,,,,96,,,,,0,,,,88,,,88,,,1,,,,,0,,,,,,0,,,,,8,,,0,,,,,,,0,,,0,,,,,,,18,,,,,0,,
